id,question,option_a,option_b,option_c,option_d,correct_option
OIC-245-20-B,What is the recommended treatment for acute adrenal insufficiency in adults?,Increase hydrocortisone doses immediately,Start treatment at home before referring to hospital,Administer fludrocortisone continuously IV,Reduce fludrocortisone dose gradually,b
OIC-245-09-A,What is the second main cause of adrenal insufficiency in adults?,Hypothyroidism,Diabetes mellitus type 2,Hormonal imbalances caused by thyroid disorders,Vitamin D deficiency,b
OIC-245-15-A,What happens immediately when someone suspects acute adrenal insufficiency in adults or children?,The person should wait for diagnostic certainty,They can start treatment without waiting for hormone levels to be measured,The person's condition might improve on its own,Emergency medical help is not required,option_a
OIC-245-11-B,What is the main glucocorticoid with a biological half-life of 18-36 hours? ,Prednisone,Dexamethasone,Prednisolone,Hydrocortisone,option_b
OIC-245-21-B,How should you take hydrocortisone for adrenal insufficiency during stress?,"Take 2 tablets at bedtime, regardless of time",Take 1 tablet before bed and 3 tablets in the morning,"Take 4 tablets per day, including one at night",Take 10 tablets as soon as stress occurs,option_a
OIC-245-19-B,What is a common sign of acute adrenal insufficiency in adults and children?,Addison's disease,Complete adrenal enzyme block (21-hydroxylase +++),Bilateral adrenal hemorrhage,Pituitary apoplexy.,b
OIC-245-02-A,What is the main difference between primary and secondary adrenal insufficiency?,"{ 'Primary Adrenal Insufficiency': 'Central', 'Secondary Adrenal Insufficiency': 'Peripheral' }","{ 'Primary Adrenal Insufficiency': 'Pituitary damage', 'Secondary Adrenal Insufficiency': 'Corticotropic insufficiency' }","{ 'Primary Adrenal Insufficiency': 'Hypothyroidism, vitiligo', 'Secondary Adrenal Insufficiency': 'Tumour syndrome: headaches, visual disturbances' }","{ 'Primary Adrenal Insufficiency': 'Children with somatotropic insufficiency', 'Secondary Adrenal Insufficiency': 'Pituitary gland damage' }",b
OIC-245-18-B,What is a common reason for decompensation in adults with adrenal insufficiency?,Infection,Vomiting,Myocardial infarction,Major physical effort,option_b
OIC-245-12-A,What is the immediate treatment for acute adrenal insufficiency in children?,100mg hydrocortisone IV or IM within 60 minutes,50mg hydrocortisone IV or IM every 6 hours,Administer saline solution with potassium chloride,Wait until the patient is in a coma before administering treatment,option_a
OIC-245-03-A,What is the primary cause of adrenal insufficiency in adults?,Autoimmune disorders,Genetic mutations,Rejection of medication,Infection with a specific virus,option_a
OIC-245-04-A,What is the main difference between asthenia in adrenal insufficiency?,It may be associated with signs of deficiency of other pituitary hormones,It refers to a loss of muscle mass due to electrolyte imbalance,It indicates an overproduction of cortisol by the adrenal glands,It is caused by a tumor in the pituitary gland,option_a
OIC-245-23-A,What is a characteristic feature of classic adrenal insufficiency in children?,Normal genitalia,Hypertrophy of the clitoris,Failure to gain weight due to mineralocorticoid deficiency,Seizures caused by hypoglycemia,option_c
OIC-245-25-B,What is the most common genetic cause of adrenal insufficiency in children?,Congenital Adrenal Hyperplasia,Adrenoleukodystrophy,X-linked Adrenal Insufficiency,Congenital 21-hydroxylase deficiency is the most common cause of adrenal insufficiency in children.,option_a
OIC-245-01-A,What is the main difference between primary and corticotropic adrenal insufficiency?,"Primary or peripheral adrenal insufficiency involves both adrenal glands, while corticotropic adrenal insufficiency only affects one gland.","Corticotropic adrenal insufficiency results from a pituitary tumor that increases ACTH production, while primary adrenal insufficiency is caused by a genetic defect in the adrenal glands themselves.",Both types of adrenal insufficiency are characterized by a decrease in cortisol and aldosterone levels.,"Primary adrenal insufficiency typically occurs in children due to a congenital deficiency in steroidogenesis, whereas corticotropic adrenal insufficiency is more common in adults.",a
OIC-245-22-B,What is the primary cause of adrenal insufficiency in children with 21 hydroxylase deficiency?,Hypopituitarism,Hyperandrogenism,Aneurysm of the adrenal gland,Autoimmune reaction,b
OIC-245-07-A,What is the primary purpose of administering tetracosactide during the Synacthen Test?,To stimulate adrenal function,To block cortisol production,To test for corticotropic insufficiency,To assess adrenal atrophy,d
OIC-245-14-B,What is the primary clinical sign of adrenal insufficiency in adults?,Orthostatic hypotension,Nausea,Chest pain,Fatigue,d
OIC-107-05-B,What is the primary characteristic of Huntington's disease?,Abnormal movements are usually chorea,Cognitive decline is typically slow and insidious,Dystonic abnormal movements often occur in early stages,Apathy is a common symptom of the condition,option_a
OIC-107-06-A,What is the primary difference between an anomalous movement and a motor tic?,"Anomalous movements are typically characterized by repetitive, purposeless gestures.","Both can be benign and isolated, occurring in childhood or adulthood without impacting socio-professional adaptation.","A motor tic is associated with Tourette's syndrome, while an anomalous movement is not.",Anomalous movements are often seen in individuals with obsessive-compulsive disorder.,b
OIC-107-03-A,What drug is most likely to induce iatrogenic parkinsonian syndrome?,Cocaine,L-dopa,Amiodarone,Tacrolimus,b
OIC-107-07-B,What is the main difference between dyskinesias induced by L-dopa and neuroleptics?,Dyskinesias induced by neuroleptics are more common in older adults,L-dopa-induced dyskinesias are typically characterized by dystonic movements,Neuroleptic-induced dyskinesias are often associated with akathisia,Dyskinesias induced by L-dopa are more likely to be choreic in nature,option_b
OIC-107-02-A,What is the primary cause of an exaggerated physiological tremor?,Wilson's disease,Essential tremor,Cerebellar pathology,Hyperthyroidism,c
OIC-107-01-A,What is the main difference between a tremor and dystonia?,"A tremor occurs in muscles at rest, while dystonia affects posture and/or repetitive movements.","A tremor involves abnormal postural changes, whereas dystonia causes stereotyped movements.","Tremors are involuntary rhythmic oscillation, while dystonias involve abnormal muscle contractions.","Dystonia is characterized by localised or generalised muscle contracture, whereas tremors do not have a fixed location.",b
OIC-133-04-A,What is one of the key scales used in assessing dependency in elderly people?,Katz Scale,Lawton Scale,Functional Ability Test,Cognitive Function Assessment Tool,option_a
OIC-133-05-B,What is the main cause of immobilization syndrome?,A. Acute confusion,B. Undernutrition,C. Falls,D. Adverse drug reactions,b
OIC-133-06-B,What is the primary consequence of dependency on patients?,Reduced financial security,Increased physical activity,Social isolation,Improved mental health,b
OIC-133-09-B,What is the primary purpose of group accommodation facilities for dependent elderly people?,To provide temporary medicalized care,To offer non-medical collective accommodation with optional communal facilities,To enable independent living with optional communal services,To support foster carers and their families,option_a
OIC-133-03-A,What does Wood's functional analysis distinguish? ,An anomaly in a specific organ,A type of disease with no symptoms,The result of an adverse reaction to medication or hospitalization,The difference between the person's physical and intellectual abilities,option_d
OIC-133-07-A,What is the main source of financial aid for elderly individuals in France?,Pension funds and/or mutual insurance companies,"Social workers', home helps' salaries",Mutual insurance companies' premiums,General practitioners' fees,option_a
