question,cop,opa,opb,opc,opd,subject_name,id,prediction
"A 67-year-old male smoker was seen in the ER for evaluation of cough and treated for acute bronchitis. A CXR done at that time prompted a referral to the chest clinic. The patient gives a past history of myocardial infarction, but at the moment is asymptomatic. BP is 128/80 and cardiopulmonary exam is unremarkable. PPD is 7 mm. CXR is shown in. The likely diagnosis is",D,Hypeensive cardiomyopathy,Tuberculous pericarditis,Epicardial fat pad,Left ventricular aneurysm,Radiology,4ed8451a-81dd-4f49-b61a-5f5a8b13afa9,D
Indomethacin causes:,A,Closure of ductus in premature neonate,Patent ductus arteriosus,Closure of ductus in term & premature neonates,Closure of ductus in older children also,Pediatrics,0ce1c206-1c6f-4448-9222-f2e36883c0af,C
Which of the following drugs used in the therapy of metastatic melanoma is a MEK inhibitor?,D,Vemurafenib,Ipilimumab,Dabrafenib,Trametinib,Pharmacology,e61b84eb-f341-413f-a957-0e84859ac8c3,D
The regeneration of endometrial surface of uterus is completed - weeks after labour :,C,1,2,3,4,Gynaecology & Obstetrics,811d0f60-01e5-49fe-bfb4-3550d0a79f0f,B
"A 2 month baby presents with history of jaundice, turmeric colored urine and pale stools since bih. Examination reveals liver span of 10 ems. The most specific investigation for establishing the diagnosis would be -",D,Liver function tests,Ultrasound abdomen,Peroperative cholangiogram,Liver biopsy,Pediatrics,1013b2e3-e618-4815-bcc5-a237b1325084,D
Which of the following arteries supplies blood to trigeminal ganglion?,D,Basilar artery,Anterior cerebral artery,Posterior communicating artery,Cavernous part of internal carotid artery,Anatomy,d4969ec4-33ff-46e5-a89b-8e08215018eb,D
"A 64-year-old woman presents with 6 weeks of fatigue, dyspnea, and night sweats. She has lost 11 lb. She has no history of trauma, has never had surgery, and takes no medications. Chest x-ray reveals a large right-sided pleural effusion. Thoracentesis yields pleural fluid that appears milky. Pleural fluid triglyceride level is 500 mg/dL. Which of the following disorders is most likely in this patient?",A,Lymphoma,Congestive heart failure,Pulmonary embolism,Pneumonia,Medicine,dc69483d-4637-4b44-88bd-d0feb4a11317,A
Kienbock's disease is osteochondritis of which bone?,B,Lower pole of patella,Lunate,Capitellum,Navicular,Orthopaedics,b1816b8d-d0dd-442e-bd01-eddadda6acba,B
A sewage worker with fever and jaundice presented to the emergency depament. Lab investigations revealed increased blood urea nitrogen and serum creatinine - indicative of renal failure. Which of the following antibiotics is preferred in this patient?,C,Erythromycin,Doxycycline,Penicillin G,Ciprofloxacin,Social & Preventive Medicine,3feba6d4-7c0f-4809-b2e9-99373100d06c,C
Which is not a fibrous joint?,B,Sutures of the skull,First costochondral joint,Tooth socket,Inferior tibiofibular joints,Orthopaedics,e6d87c78-c7e6-40bc-9974-ea3b26130348,B
Calcification of Posterior Longitudnal Ligament is best diagnosed by,B,X-Ray,CT,MRI,PET,Radiology,25c493ba-e82c-4893-8c38-367c25a19dc5,B
Major reason for H5N1 not to become a global pandemic is,A,Man to man transmission is rare,Route of transmission is not respiratory,Does not cause serious disease among humans,Restricted to few countries only,Social & Preventive Medicine,2a86af34-7f34-4928-9589-da139571dba7,A
Dietary triglyceride is a major source of nutrient for the human body. It is digested mostly in the intestinal lumen by pancreatic lipase to release:,D,Lysophosphatidylcholines and fatty acids,Glycerol and fatty acids,Diglyceride and fatty acids,2-Monoglyceride and fatty acids,Physiology,441d487d-d6cf-4528-8b77-4ad3fddfcb8a,D
A 11 year-old boy is brought to the physician with complaint that he gets up at night and while sleeping walks around the house for a few minutes before returning to bed. When parents try to wake him up he is confused and disoriented. Which of the following is the most appropriate treatment for him?,A,Tell the parents to maintain a safe environment and monitor the patient's symptoms,Sta the patient on a low dose of benzodiazepines at night,Sta the patient on a low dose of a tricyclic antidepressant,Tell the parents that the child would benefit from cognitive psychotherapy,Psychiatry,d56d6d1a-7c54-4519-8293-d0ff7d50d24a,A
Stain used for staining fungal elements –,C,Acid fast stain,Mucicarmic,Methenamine,Gram stain,Dental,479862ab-40f8-4a2f-8a2f-428a60f4cb96,C
Which of the following is not a diahrosis ?,C,Elbow joint,Interphalangeal joint,Skull sutures,Hip joint,Surgery,5384ed88-5f83-46df-a13a-10853669f1a3,C
Bucket handle tear at knee joint is due to:,D,Injury to medial collateral ligament,Injury to lateral collateral ligament,Injury to ligamentum patellae,Injury to menisci,Surgery,d75947bc-c27a-437b-a4ce-a82239e41f8d,D
Which of the following does not cause cornea veicillata,D,Indomethacin,Chloroquine,Fabry disease,Tay sach's disease,Ophthalmology,9409ae53-8115-4e0b-9f64-38f7088b37ff,D
A 2 day old newborn girl born out of non-consanguinous marriage was evaluated for tense blister and areas of denuded skin that had been present since bih. The child develops while mother handles for bathing and feeding. The sibling of child also had h/o developing similar lesions.,B,Congenital syphilis,Congenital epidermolysis bullosa,LCH,Congenital bullous icthyosiform erythroderma,Skin,e09c55a4-9d7b-4917-95c4-d6b447ae1a58,B
"A patient admitted to an ICU is on central venous line for the last one week. He is on ceftazidime and amikacin. After 7 days of antibiotics he develops a spike of fever and his blood culture is positive for gram positive cocci in chains, which are catalase negative. Following this, vancomycin was staed but the culture remained positive for the same organism even after 2 weeks of therapy. The most likely organism causing infection is:",C,Staphylococcus aureus,Viridans streptococci,Enterococcus faecalis,Coagulase negative Staphylococcus,Microbiology,c3391f17-54de-482c-a119-55b4059e2d3e,C
Most common inheritance of Achondroplasia is,B,Sporadic,Autosomal dominant,Autosomal recessive,X-linked recessive,Orthopaedics,cab17e10-2ccf-41e2-a614-ea3ed5001b71,B
Most common site for the osteoporotic veebral Fracture is :,A,Dorsolumbar spine,Cervical spine,Lumbosacral spine,Dorsal spine,Anatomy,e4bf9b47-23c4-4c96-8a09-d9f5e5c71e8a,A
"13, years old boy, the LEAST common cause of proximal lytic lesion of the head of the femur is -",A,Plasmacytoma,Metastasis,Histiocytosis,Bone tumour,Orthopaedics,96c23a4f-3ee1-41ea-91b8-79bdb6ce6df3,A
"In Alzheimer disease patients, the major effect on neurotransmitter systems of tacrine, donepezil, rivastigmine, and galantamine is to",C,increase dopamine availability,decrease dopamine availability,increase Ach availability,decrease Ach availability,Psychiatry,34c5ae30-0251-4530-b3d9-71b6ec52e08a,C
Which of the following is least likely associated with vascular injury -,D,Fracture supracondylar femur,Fracture supracondylar humerus,Fracture shaft of femur,Fracture shaft humerus,Orthopaedics,4f11416b-35a3-4d4b-9fb6-3dbb21f008d2,C
Sporulation occurs at,C,Lag phase,Log phase,Stationary phase,Decline,Microbiology,27172504-a16e-43ff-b5d3-eba8a2959fe3,C
Dengue fever is caused by:,D,Orthomyxo virus,Paramyxo virus,Bunya virus,Arbovirus,Microbiology,0e224419-9e50-41f8-8f98-32ad666a0b70,D
Which one of the following is the most sensitive and specific screening test to detect breast cancer -,C,Regular X-ray,Self breast examination,Mammography,Regular biopsy,Social & Preventive Medicine,3ea15353-bd3c-4ca0-8925-79814407d2b3,C
Wickham's striae are seen in:,D,Lichen nitidus,Lichenoid eruption,Lichen striatus,Lichen planus,Skin,160f81b4-a824-4c9a-b671-d2dd5017aff3,D
Which of the following is not a stem cell of the bone marrow,C,Lymphoblast,Myeloblast,Myoblast,Normoblast,Anatomy,dc285969-62bc-473e-abaf-a1ea9d73c61a,C
Which among the following is an absolute contraindication of Hormone replacement therapy ?,D,Endometriosis,Osteoahritis,Hea disease,Breast carcinoma,Gynaecology & Obstetrics,d8caa5a3-8369-489b-afce-39593a81268f,D
Which of the following structures is responsible for detecting rotational acceleration?,D,Cochlea,Fovea centralis,Saccule,Semicircular canals,ENT,a7951b5f-6f08-4ccb-a18c-2b4c3900f47f,D
Inhalat ional anesthetic agent of choice in children is?,A,Sevoflurane,Methoxyflurane,Desflurane,Isoflurane,Anaesthesia,a739f3b8-cf30-448e-9651-9e2604efef32,A
A patient is having deficiency of Von Willebrand factor. Which of the following abnormalities are seen in this patient?,C,"Increased PTT, increased PT","Decreased PT, Increased PTT","Normal PT , Normal PTT",Normal PT & Increased PTT,Pathology,110ebf59-784a-4e5d-b8a6-639ba0938c9c,D
Dorsal column lesions are associated with loss of:,C,Ankle jerk,Knee jerk,Proprioception,Superficial abdominal reflexes,Medicine,d4a66a9c-2328-4757-9278-b725aa5f88ef,C
The primary form of coisol in the plasma is that which is,D,Bound to albumin,Bound to transthyretin,Free in solution,Bound to coicosteroid-binding globulin (CBG),Physiology,2ad9f99b-6f4f-4096-9288-5d971f2ec60d,D
Equatorial diameter of the lens is,C,7mm,8mm,9mm,10mm,Ophthalmology,98f00043-22e0-414a-a202-2f59ffc9f04c,C
Bronchial aery supplies lungs up to:,B,Teiary bronchioles,Respiratory bronchiole,Alveolar ducts,Terminal bronchiole,Anatomy,4930085d-debd-4f01-bd3c-1d56a27a1c4e,D
Which of the following drug is preferred in acute attack of asthma during labour,C,Salbutamol,Formeterol,Ipratropium,Zafirleukast,Pharmacology,19617a71-00fd-48c7-b06d-b8d7492f2722,A
Dose response curves of salbutamol for bronchodilation and tachycardia are widely separated on dose axis. This information suggested that sulbutamol is,D,Highly potent cardiac stimulant,Highly efficacious bronchodilator,Highly toxic drug,Highly selective drug,Anatomy,666ef1b9-7df2-4d06-ab87-60ef947f3910,D
Biphasic histopathology is seen in -a)  Rhabdomyomab)  Mesotheliomac)  Neurofibromatosisd)  Synovial sarcoma,A,bd,d,ab,ac,Pathology,80ff4e04-a27c-40e9-a628-24f30289f6f0,B
Drug metabolized by Glutathionation is,C,Benzodiazepines,Dapsone,Fosfomycin,Nicotinic acid,Pharmacology,e7175c65-376b-40e8-8ee9-ed3ae5cfc60e,B
Trochlear nerve nucleus lies at the level of,B,Inferior cerebellar peduncle,Inferior colliculus,Superior colliculus,Superior cerebellar peduncle,Anatomy,94156aab-6f84-4200-9ac9-05c6bca40145,B
Anterior vitreous cells are least likely to be found in,D,CMV,Serpiginous Choroidopathy,Chronic cyclitis,Retinitis pigmentosa,Ophthalmology,7e12e05b-f0a9-4e0e-ba5c-4704660ecb89,D
Choana is:,B,anterior nares,Posterior nares,Tonsils,Larynx,ENT,b124290b-11d2-429a-bd2c-3ead2ea8066d,B
A 32-year-old male is a known hypertensive and is being planned for cholecystectomy. Which of the following anaesthetic agents is contraindicated in this person?,B,Propofol,Ketamine,Midazolam,Etomidate,Pharmacology,8f5b1a94-95f0-44a0-9815-ea32292b81ca,B
A 20-year-old man is suspected of acute stimulant intoxication. His symptoms are most likely to resemble which of the following conditions?,C,Alcohol intoxication,Antisocial personality disorder,Mania,Obsessive-compulsive disorder,Psychiatry,243b9898-2858-4969-ae02-4c8cbb6b47e5,C
What abnormality does this child have?,C,Bruxism,Thumb sucking,Pica,Breath holding spell,Pediatrics,29311e39-c004-43ec-9d95-919ed5bf7e7a,B
In case control study of buccal carcinoma ?,C,CA is commoner in zarda pan users than non users,Zarda pan is a cause of buccal CA,Zarda pan is associated with buccal CA,"If use of zarda pan is stopped, number of cases will reduce",Social & Preventive Medicine,f96bc0cc-a676-4af4-8c49-8215025dc55a,C
Soap bubble appearance on Xray is seen in which bone tumor -,B,Osteogenic sarcoma,Giant cell tumor,Multiple myeloma,Chondroblastoma,Orthopaedics,40ae727a-68dd-4466-af93-fc4add4c458e,B
Sequestrated lung is most commonly supplied by:,D,Bronchial artery,Subclavian artery,Pulmonary artery,Ascending aorta,Radiology,024ee468-152c-4e88-8518-9b03359ba759,D
"The bone tumor seen in children with characteristic ""onion-peel"" periosteal reaction is?",C,Osteosarcoma,Giant cell tumor,Ewings sarcoma,Osteoid osteoma,Orthopaedics,85c6dc6c-76ce-49c0-8354-561e012be7c7,C
Highest protein content is in,C,Red gram,Black gram,Soya bean,Bengal gram,Social & Preventive Medicine,8305153a-ecdd-4946-9b78-a43e57d77c6e,C
Pigs are reservoir for -a)  T. Soliumb) T. Saginatac) Trichinella spiralisd)  Ancyclostoma,C,a,bc,ac,b,Microbiology,d225b66b-7ba3-4fbf-9aab-e36ae1291e25,C
Jaundice at birth or within 24 hours of birth is commonly due to –,A,Erythroblastosis,Congenital hyperbilirubinemia,Biliary atresia,Physiological,Pediatrics,1de3fb95-90d6-42fe-b327-b4d807052be7,A
"In Alzheimer's disease, the pathology seen in the brain is -",A,Atrophy of parietal and temporal lobes,Atrophy of temporal lobes,Atrophy of temporal and occipital lobes,Atrophy of parietal and occipital lobes,Psychiatry,b926a691-7278-4c01-bef2-55e39a918474,A
Incidence of breech presentation at term is?,B,1%,3%,7,10%,Gynaecology & Obstetrics,59ecd54c-b53e-475f-b241-589016dab338,B
Patient with HNPCC (hereditary nonpolyposis colon cancer) has genes with microsatellite instability. This is due to failure of which repair mechanism of DNA,A,Mismatch repair,Base excision repair,Homologous end joining repair,Non homologous end joining repair,Biochemistry,622b7373-6a37-4e79-b301-c82e17963db0,A
"A 35 yr old male presented with a 15 day history of proptosis in his right eye and pain on eye movement. There is difficulty in upward and downward gaze movements. CT scan showed a cystic lesion with a hyperdense opacity within it, located in the superior oblique muscle. What is the MOST probable diagnosis?",D,Dermoid,Hemangioma,Pseudotumor,Cysticercosis cellulosae,Ophthalmology,919c809f-b24a-47e5-b777-054fe3a89c4a,D
Remitting and relapsing features are associated with,A,Multiple Sclerosis,Guillain-Barre syndrome,Parkinson's disease,Subdural haematoma,Medicine,7cde590a-aecb-4060-ac55-6ac3c06d4646,A
External auditory meatus is derived from which cleft?,A,1,2,3,4,Anatomy,ae8c74cf-2058-4276-8b98-c085395444c5,A
Which of the following is the most common cause of meningoencephalitis in children -,D,Mumps,Arbovirus,HSV,Enterovirus,Pediatrics,839de5b4-7952-456e-8489-8372e0de8ee1,D
Hypopigmented patches are seen in,C,Nevus ota,Nevus Ito,Nevus anemicus,Becker nevus,Dental,8350460d-b64e-4d21-985f-a41e259d17a7,C
First order kinetics is: September 2005,C,Absorption of the drug is independent of the serum concentration,Elimination of the drug is independent of the serum concentration.,Elimination of the drug is propoional to the serum concentration,Absorption of the drug is propoional to the serum concentration,Pharmacology,059cfc29-7a25-4726-a762-c8772980704b,C
Negri bodies are characteristic of,D,Measles,Tetanus,HIV/AIDS,Rabies,Microbiology,885074dd-0459-4972-b8ed-87526d51c825,D
Which of the following is not done for diagnosis of parotid tumor,C,MRI,CT,Open surgical biopsy,FNAC,Surgery,0d77fada-b341-46c0-809b-61b0136e5b31,C
Cremastric muscle is supplied by:,C,Ilioinguinal nerve,Iliohypogastric nerve,Genital branch of genitofemoral nerve,Femoral branch of genitofemoral nerve,Anatomy,f9ed1b34-7a78-461f-a039-a5a103c5b3a0,C
Perforated trays are used with,A,Alginate impression material,Silicone impression material,Modeling compound,Impression waxes,Dental,f2c2cfdb-6fe9-43be-9a75-306dcab1676a,A
While launching a community programme best method of action is –,B,Publicity drive,Talk to community leaders,Involvement of voluntary agencies,Organize lecture,Social & Preventive Medicine,3fbb31af-ebec-4d52-a8d9-714ddae40231,B
Carcinoid syndrome produces valvular disease primarily of the,C,Venous valves,Tricuspid valve,Mitral valve,Aoic valve,Medicine,ff6336be-790d-4bb2-b5d2-1e16bcd4f8ac,B
"Collapsing glomerulopathy, features:",D,Tuft necrosis,Mesangiolysis,Proliferation of parietal epithelium cells,Hyperophy of visceral epithelium cells,Medicine,849a9366-e5fc-4dcc-b859-3df98b168477,C
The function of P cells of the kidney is,C,H+ secretion,K+ reabsorption,Na+ reabsorption,Cl- secretion,Physiology,d444dad0-31ab-4eb4-991f-f0103f9230f0,C
Commonest cause of abdominal pain in children is -,D,Porphyria,Worm colic,Lead poisoning,Appendicitis,Pediatrics,f48f50dc-8c17-4f78-9530-e3524747d56c,D
Which of the following is the etiology of Werner syndrome?,B,Increased length of telomere,Sho telomere with damaged DNA and loss of helicase,Increased advanced glycation end products,Decreased lipid peroxidation,Biochemistry,2b642e5a-1398-40c6-9378-492787a51446,B
Coronaviruses are recognized by club-shaped surface projections that are 20 nm long and resemble solar coronas. These viruses are characterized by their ability to,B,image_question,image_question,image_question,image_question,Microbiology,332c209a-e375-4cbe-9b6d-d38afcfc2557,A
RNA can is detected by,B,Southern Blot Technique,Nohern Blot Technique,Western Blot Technique,South-Western Blot Technique,Biochemistry,dde9fa49-d30f-4628-8ca9-c42c330297ca,B
Adamantinoma affects,D,Radius,Humerus,Femur,Tibia,Orthopaedics,a192b209-09c4-4c49-a48d-9b63555896cd,D
Death in copper sulphate poisoning occurs due to:March 2003,A,Renal failure,Cardiac arrest,Vascular collapse,Convulsions,Forensic Medicine,f2d1d2db-c281-46d0-9b4f-92b65bb94afc,C
Triple helix is seen in -,A,Collagen,DNA,Elastin,RNA,Biochemistry,7cd978c0-38a3-4815-bac6-a3f5843bb9eb,A
Oath is defined under the section,C,40 IPC,44 IPC,51 IPC,178 IPC,Forensic Medicine,9e226d03-18b0-473a-9857-188b3a57d478,D
Which category of hypersensitivity involves complement activation?,C,2,3,2 & 3,4 & 2,Microbiology,dca9e4a6-a334-4ab1-9346-a62c68725216,C
Which of the following drugs cause oligospermia,D,Leflunomide,D-pencillamine,Methotrexate,Sulfasalazine,Pharmacology,019ed9c2-3d9c-4855-b94a-b8695fd37a52,D
Insulin causes decrease in activity of which enzyme?,C,PFK-1,Glucokinase,Pyruvate Carboxylase,Acetyl CoA Carboxylase,Biochemistry,5182dd30-535c-4f60-a1f7-03433b25a544,C
Pfropf's Schizophrenia,B,Schizophrenia in professors,Schizophrenia in children,Schizophrenia in patients,Schizophrenia in doctors,Psychiatry,302b5362-c0b5-4b88-b47d-6bce3943b50f,C
