id,question,option_a,option_b,option_c,option_d,correct_option
OIC-133-05-B,What is a major risk factor for immobilization syndrome in elderly people?,Undernutrition,Bullying of older adults by caregivers,Dehydration,Prolonged use of bed rest,option_d
OIC-133-06-B,What is the correct term for the change from a healthy dependent relationship to one of dependency in elderly individuals?,Dependence,Abuse,Substance Dependence,Maturity,A
OIC-133-09-B,What is the purpose of group accommodation facilities for emergency and chronic care dependents?,To provide temporary medicalized accommodation,To offer one-off foster carer support services,To facilitate home adaptation assistance,To arrange family housing sharing with elderly people,To provide temporary medicalized accommodation
OIC-133-03-A,What does Wood's sequence involve?,Systemic diseases,Organ-specific diseases,Disadvantage,Deficiency,c
OIC-133-07-A,Which type of aid is typically provided by Friends and Family?,Meal Delivery Services,Night Nurses,Household Chores Done for Free,Friends and Family,option_a
OIC-133-08-A,What are the four main elements of Individual Protection Measures for Dependent Elderly People?,Reporting to the Public Prosecutor is a type of Individual Protection Measure.,Mandat de Protection Future allows an adult to appoint someone to represent them in certain cases.,Habilitation Familiale gives relatives permission to seek court authorization for representation when one is unable to do so.,"Saufgarde de Justice is a legal protection measure that allows the adult to be represented by another person for certain acts, but this only applies if sufficient legal protection exists.",b
OIC-133-01-A,What does 'dependence' on others compare to when it comes to autonomy?,Complete control over one's own life,Dependence on others for daily necessities,"Partially being able to carry out activities, but still needing help",Having complete freedom and decision-making capacity,option_a
OIC-133-02-B,What is the correct way to classify consistency in relation to societal norms?,To match individual preferences,To conform to social expectations,To ignore personal freedom,To be unpredictable,option_b
OIC-234-14-A,What is the characteristic radiographic feature of pulmonary stasis in adult heart failure?,Confluent flaky opacities of the bases,Horizontal subpleural Kerley lines,Rattled lung sounds,Diaphragmatic elevation,option_a
OIC-234-22-A,What is the typical heart rate for a patient with cardiogenic shock?,110 bpm,130 bpm,150 bpm,60 bpm,b
OIC-234-03-A,What is the main difference between cardiogenic acute pulmonary oedema (PAO) and left heart failure?,Increased intrathoracic pressure,Decreased capillary hydrostatic pressure,Normal blood pressure,Decreased venous return,c
OIC-234-05-B,What is the primary determinant of cardiac output for a patient with left heart failure?,(pre-load volume),(end-diastolic volume),(telesystolic volume),(systolic ejection volume),b
OIC-234-09-A,What is the main functional sign related to exertion that is not typically used in the NYHA scale?,Orthopnoea,Paroxysmal nocturnal dyspnoea,Hypotension,Dyspnoea,b
OIC-234-07-A,What is the primary differential diagnosis of Acute Respiratory Failure in Adult Heart Failure?,Pneumonia,Asthma Attack,Tamponade,Decompensation of COPD,B
OIC-234-17-A,What is the main difference between cardiogenic pulmonary oligoaemia and Pneumonia?,"Cardiogenic PAO is caused by heart failure, whereas pneumonia is caused by a bacterial infection.","Cardiogenic PAO occurs suddenly, while pneumonia develops over time.","Both conditions are characterized by acute respiratory distress, but cardiogenic PAO has signs of shock and exhaustion.","Pneumonia typically presents with fever, cough, and difficulty breathing, whereas cardiogenic PAO is often associated with sinus tachycardia and arrhythmias.",d
OIC-234-13-B,What is the primary purpose of transthoracic echocardiography in adult heart failure diagnosis?,Diagnose cardiac function abnormalities,Assess valvulopathy,Identify the aetiology of heart failure,Improve left ventricular ejection fraction (LVEF) measurements,c
OIC-234-19-A,What is the most effective way to promote physical activity in adult heart failure patients?,Avoidance of certain high-risk jobs,"Regular, prolonged walking at a pace that does not cause breathlessness",Increasing salt intake and consumption,Avoiding professional activities requiring heavy lifting or carrying,b
OIC-234-10-B,What is a key part of confirming the diagnosis and assessing the degree of severity in adult heart failure?,Blood tests such as creatininaemia; kalaemia,ECG (Electrocardiogram),Liver function tests,TSH test,b
OIC-234-23-B,What is the primary treatment for cardiogenic shock with low blood pressure?,Inotropes and catecholamines,Dialysis,Pain relief medications,Fluid expansion therapy,option_a
OIC-234-08-B,What is the correct threshold value for left ventricular ejection fraction (LVEF) in differentiating between heart failure with reduced EF and heart failure with preserved EF?,≤50%,≥60%,Is equal to 40%.,Decreases as the percentage of LVEF increases.,≤50%
OIC-234-12-B,What is the correct age threshold for elevated BNP or NT proBNP in patients over 75 years old?,450 pg/ml,900 pg/ml,1800 pg/ml, ,b
OIC-234-18-A,What is the primary indication for initiating beta-blockers in Adult Heart Failure patients with PAO?,Weaning from oxygen therapy,Severe symptoms of anxiety or chest pain,ACE inhibitors,Beta-blocker treatment at a distance from the episode of PAO,b
OIC-234-11-A,What is the primary indication for ordering a cardiac catheterization?,"Blood ionogram (Na+, K+)",Arterial blood gas,"Troponin, especially in cases of chest pain and ECG changes",Chest X-ray,option_c
OIC-234-01-B,What is the age range for people with adult heart failure? ,60-70 years,80-90 years,50-60 years,90-100 years,b
OIC-234-21-B,What is the main cause of deaths in adults with heart failure?,Cardiogenic shock leading to multivisceral failure,"Sudden death secondary to ventricular rhythm disturbances (VT, VF)",Chronic refractory heart failure,"Thromboembolic complications: systemic embolism (stroke), pulmonary embolism (episodes of bed rest)",option_b
OIC-234-02-A,What is the main difference between a patient with chronic heart failure (CHF) and one with heart failure with reduced ejection fraction (HFref)?,"[a] The presence of crackles at the lung fields in CHF is caused by fluid accumulation, [b] A patient with HFref will show increased peripheral pulses due to increased venous return","[b] CHF patients typically have elevated natriuretic peptide levels, [c] Both types of heart failure often involve a dilated ventricle on echocardiography","[b] The presence of jugular venous distension in CHF is due to increased right-sided filling pressures, [d] In HFref, jugular venous pressure would be decreased because the ventricle fails to fill properly",[i],c
OIC-234-20-A,What is the most appropriate initial medication for adult patients with reduced ejection fraction (EF) in symptomatic heart failure?,Loop diuretics,Beta-blockers,Aldosterone receptor antagonists ,Glifozines,option_a
OIC-234-06-B,Which type of PAO is associated with damage to the alveolar-capillary membrane?,Lesional,Cardiogenic,Hydrostatic,Lesional,option_a
OIC-234-16-A,What is the most common cause of left heart failure?,Ischaemic Heart Disease,Hypertension,Valvulopathies,Cardiomyopathies,d
OIC-234-04-A,What is the main definition of cardiogenic shock?,Cardiogenic shock is defined as a heart failure with low cardiac output,It is a condition where the heart fails to pump enough blood to meet the body's needs,The primary cause of cardiogenic shock is viral infections,A hallmark characteristic of cardiogenic shock is hyperglycemia,b
OIC-270-05-A,"What is the best initial imaging examination for acute low back pain in adults, given that radiographic imaging is not routinely ordered until after a thorough clinical examination?",X-ray,CT scan,Ultrasound,MRI,A
OIC-270-01-A,What is a specific characteristic that distinguishes acute low back pain of vascular origin from other causes?,Atherosclerosis in the renal arteries,Thrombosis of the renal artery stenosis,Hemorrhage into the kidney due to aneurysm or dissection,Acute pyelonephritis (161),a
OIC-270-07-B,What is the most common cause of non-traumatic acute low back pain?,Poor posture,Dehydration,Overuse of muscles,Lack of exercise,option_b
OIC-270-03-A,What should you do in an emergency for a patient suspected to be experiencing urological complications?,Administer fluid restriction and NSAIDs,Give morphine analgesics only if pain is resistant to other treatments,"Offer medical treatment including NSAIDs, morphine analgesics, and antibiotic therapy for septic pyelonephritis",Perform a routine examination of the renal pelvis and ureters,c
OIC-270-04-A,What is the most common cause of renal colic in men with a history of pelvic fractures?,Acute ureteral injury,Retroperitoneal hematoma,Pyelonephritis,Spermatic cord torsion,A
OIC-270-02-A,What are the main aetiologies of low back pain?,Biphasic degenerative,Repetitive strain,Neurological disorders,Spinal tumors,C
OIC-270-06-A,What tests are typically ordered for acute low back pain with no secondary cause?,CBC and calcemia,Vascular and Cardiological tests,ECBU and proteinuria,Urological test,option_a
